Record_ID,Year,Month,Month_Name,Quarter,Branch_Zone,State,Segment,KPI_Name,Budget_INR_Lakhs,Actual_INR_Lakhs,Variance_INR_Lakhs,Variance_Pct,Target_Achieved,RM_Responsible,Last_Updated
BA00135,2024,8,Aug,Q3,NORTH ZONE,HARYANA,priority banking,npa amount,4586.38,4922.25,335.87,7.32%,Yes,Sunita Rao,21-07-2025
BA00136,2024,1,January,Q1,North Zone,Punjab,NRI Banking,  Fee Income,1026.23,788.54,-237.69,-23.16%,No,deepa krishnan,31-Dec-25
BA00137,2010,2,Feb,Q1,Central Zone,KARNATAKA,Retail Banking,New Customer Acquisition,2339.86,2218.77,-121.09,-5.17%,No,PRIYA NAIR,24-02-2010
BA00138,2015,7,July,Q3,Central Zone,ANDHRA PRADESH,NRI Banking,NPA Amount,1525.14,1757.94,232.8,15.26%,Yes,Deepa Krishnan,30-01-2023
BA00139,2025,1,January,Q1,North Zone,ANDHRA PRADESH,Priority Banking,New Customer Acquisition,793.37,864.38,71.01,8.95%,Yes,ARUN MEHTA,01-04-2025
BA00140,2012,6,June,Q2,South Zone,Delhi,SME Banking,Total Disbursement,4949.85,5910.19,960.34,19.4,Yes,Priya Nair,13-08-2023
BA00141,2017,4,April,Q2,west zone,MAHARASHTRA,retail banking,New Customer Acquisition,2077.43,2337.53,260.1,12.52%,N,Priya Nair,16-05-2022
BA00142,2024,5,May,Q2,East Zone,Uttar Pradesh,Corporate Banking,  Profit Before Tax,2085.49,1745.58,-339.91,-16.30%,No,sunita rao,08-11-2025
BA00143,2019,4,April,Q2,South Zone,Andhra Pradesh,sme banking,  Fee Income,2376.67,3021.75,645.08,27.14%,Yes,Kavitha Subramanian,11-03-2022
BA00144,2010,3,March,Q1,North Zone,West Bengal,Corporate Banking,New Customer Acquisition,1529.34,1148.41,-380.93,-24.91%,No,Kavitha Subramanian,24-03-2010
BA00145,2010,12,DECEMBER,Q4,West Zone,Odisha,SME Banking,Fee Income,2931.59,3228.43,296.84,10.13%,Yes,SANJAY GUPTA,16-Jan-15
BA00146,2021,6,June,Q2,South Zone,TELANGANA,SME Banking,Operating Expense,3001.98,2542.71,Rs.-459.27,-15.30%,No,Kavitha Subramanian,27-09-2022
BA00147,2025,11,November,Q4,East Zone,Haryana,SME BANKING,New Customer Acquisition,1383.78,1334.51,-49.27,-3.56%,No,Mohan Das,12-08-2025
BA00148,2014,9,September,Q3,Central Zone,Punjab,  Corporate Banking,Net Interest Income,624.57,734.02,109.45,17.52%,Yes,Arun Mehta,24-09-2014
BA00149,2024,7,7,Q3,  North Zone,Maharashtra,SME Banking,Total Deposits,1620.49,1305.52,-314.97,-19.44,No,Kavitha Subramanian,18-Jan-24
BA00150,2018,11,Nov,Q4,West Zone,Madhya Pradesh,Retail Banking,Total Disbursement,3275.01,2666.36,-608.65,-18.58%,No,Sanjay Gupta,24-11-2018
BA00151,2020,7,7,Q3,South Zone,Delhi,Priority Banking,NPA Amount,1107.98,1192.12,84.14,7.59%,Yes,meena iyer,09-03-2022
BA00152,2025,11,Nov,Q4,central zone,odisha,Priority Banking,npa amount,3455.49,4354.82,899.33,26.03,Yes,Vijay Kumar,24-11-2025
BA00153,2013,7,July,Q3,East Zone,ANDHRA PRADESH,Retail Banking,  New Customer Acquisition,767.85,618.09,-149.76,-19.50%,No,meena iyer,16-08-2017
BA00154,2016,2,February,Q1,CENTRAL ZONE,Gujarat,Priority Banking,Operating Expense,4903.05,5526.69,623.64,12.72%,Yes,Sanjay Gupta,05-01-2021
BA00155,2013,4,Apr,Q2,South Zone,Telangana,Retail Banking,  Total Disbursement,2574.13,3113.95,539.82,20.97%,Yes,Meena Iyer,26-06-2015
BA00156,2021,3,Mar,Q1,North Zone,UTTAR PRADESH,SME Banking,Total Disbursement,698.26,779.63,81.37,11.65%,Yes,Arun Mehta,24-03-2021
BA00157,2024,8,AUGUST,Q3,South Zone,Odisha,Priority Banking,NPA Amount,543.08,651.44,108.36,19.95%,Yes,Lalita Devi,17-08-2025
BA00158,2021,1,Jan,Q1,east zone,Rajasthan,Priority Banking,Fee Income,204.63,182.1,-22.53,-11.01%,N,Sanjay Gupta,03-04-2025
BA00159,2022,11,November,Q4,West Zone,Andhra Pradesh,NRI Banking,profit before tax,2897.71,2673.75,-223.96,-7.73%,No,LALITA DEVI,03-02-2025
BA00160,2025,1,JANUARY,Q1,East Zone,West Bengal,sme banking,Total Disbursement,1941.46,2503.77,562.31,28.96,Yes,Kavitha Subramanian,24-01-2025
BA00161,2018,1,January,Q1,East Zone,Punjab,corporate banking,NPA AMOUNT,1632.46,1470.93,-161.53,-9.90%,No,Rajesh Sharma,15-Nov-23
BA00162,2013,11,November,Q4,East Zone,telangana,SME Banking,  Fee Income,3768,3275.51,-492.49,-13.07%,No,Meena Iyer,24-11-2013
BA00163,2020,1,January,Q1,East Zone,  Andhra Pradesh,Retail Banking,RECOVERY AMOUNT,655.8,565.38,-90.42,-13.79%,No,Amit Patel,18-08-2016
BA00164,2015,11,11,Q4,West Zone,Odisha,Retail Banking,npa amount,4010.02,5173.25,1163.23,29.01%,Yes,Anita Bose,22-09-2023
BA00165,2014,7,July,Q3,CENTRAL ZONE,West Bengal,Corporate Banking,Net Interest Income,2750.85,3116.19,,13.28%,Yes,Nitin Joshi,01-02-2024
BA00166,2015,8,August,Q3,  East Zone,Maharashtra,  SME Banking,Recovery Amount,888.11,Rs.960.72,72.61,8.18%,Yes,Deepa Krishnan,11-07-2019
