Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Product_ID,Product,Amount_INR,Channel,Branch_Name,State,RM_Name,Status,Narration,GST_INR,Processing_Fee_INR,Net_Amount_INR
TXN1025295,CUST16914,17-09-2016,EMI Payment,PRD0003,  Auto Loan,1012182.19,MOBILE APP,East Zone,Uttar Pradesh,Deepa Krishnan,Reversed,EMI Payment - Savings Account - Jun 2010,182192.79,420.31,829569.09
TXN9355190,CUST50166,09-04-2021,upi,PRD0006,business loan,852896.52,MOBILE APP,South Zone,Kerala,  Rajesh Sharma,SUCCESS,UPI - Business Loan - May 2019,153521.37,199.68,699175.47
TXN2275031,CUST41696,06-03-2012,Loan Disbursal,PRD0011,Recurring Deposit,3117700.14,Branch,CENTRAL ZONE,Punjab,meena iyer,Pending,Loan Disbursal - Recurring Deposit - Mar 2012,561186.03,361.93,2556152.18
TXN9905988,CUST63668,30-12-2012,Cash Withdrawal,PRD0005,Education Loan,2686400.05,ATM,East Zone,uttar pradesh,nitin joshi,Completed,Cash Withdrawal - Education Loan - Dec 2012,0,336.86,2686063.19
TXN2073135,CUST26547,22-11-2020,Transfer,PRD0005,Education Loan,3058865.31,POS,North Zone,Delhi,Vijay Kumar,Under Review,Transfer - Education Loan - Nov 2020,0,Rs.458.52,3058865.31
TXN4300220,CUST32746,29-02-2012,CASH WITHDRAWAL,PRD0017,Auto Loan,1683634.46,POS,SOUTH ZONE,Rajasthan,Anita Bose,Failed,Cash Withdrawal - Auto Loan - Feb 2012,303054.2,315.9,1380264.36
TXN4419979,CUST29162,29-Mar-24,  Cash Deposit,PRD0014,OD Facility,2037841.46,NEFT/RTGS,  Central Zone,KARNATAKA,Meena Iyer,Under Review,Cash Deposit - OD Facility - Mar 2024,366811.46,315.55,1670714.45
TXN1331934,CUST91292,11-11-2024,CASH DEPOSIT,PRD0008,Credit Card,1928520.91,NEFT/RTGS,West Zone,  Maharashtra,Nitin Joshi,failed,Cash Deposit - Credit Card - Feb 2024,Rs.0,412.76,1928108.15
TXN9956794,CUST49838,04-05-2017,Transfer,PRD0013,Insurance,3058371.97,Mobile App,North Zone,Kerala,Amit Patel,Under Review,Transfer - Insurance - Apr 2017,550506.95,154.02,3058371.97
TXN8671957,CUST64415,22-10-2022,RTGS,PRD0011,Recurring Deposit,2490403.6,POS,Central Zone,Gujarat,Anita Bose,Under Review,RTGS - Recurring Deposit - Oct 2022,448272.65,137.9,2041993.05
TXN3751906,CUST74724,17-05-2011,Cash Deposit,PRD0017,Auto Loan,195903.05,ATM,Central Zone,Uttar Pradesh,Lalita Devi,Failed,Cash Deposit - Auto Loan - May 2011,35262.55,0,160368.32
TXN1213496,CUST17355,23-03-2025,EMI Payment,PRD0001,Home Loan,230098.37,Mobile App,West Zone,Haryana,Nitin Joshi,Under Review,EMI Payment - Home Loan - Mar 2025,41417.71,0,188384.57
TXN3061504,CUST17355,09-05-2023,Loan Disbursal,PRD0004,Gold Loan,4594710.48,Mobile App,South Zone,Uttar Pradesh,lalita devi,Failed,Loan Disbursal - Gold Loan - May 2023,Rs.0,196.7,4594513.78
TXN6155691,CUST27428,04-07-2020,Loan Disbursal,PRD0007,Loan Against Property,2706148.68,NEFT/RTGS,East Zone,Madhya Pradesh,MEENA IYER,Reversed,Loan Disbursal - Loan Against Property - May 2023,487106.76,218.54,2218823.38
TXN5133583,CUST33281,07-01-2019,cash withdrawal,PRD0006,Business Loan,1605264.59,NEFT/RTGS,Central Zone,Gujarat,Meena Iyer,Pending,Cash Withdrawal - Business Loan - Nov 2013,288947.63,334.3,1315982.66
TXN8738391,CUST53420,31-10-2015,NEFT,PRD0006,Business Loan,1501751.14,Phone Banking,West Zone,Kerala,Sunita Rao,Reversed,NEFT - Business Loan - Oct 2015,270315.21,450.65,1230985.28
TXN6259001,CUST70786,06-05-2017,cash deposit,PRD0002,Personal Loan,3457701.76,ATM,South Zone,  Gujarat,mohan das,failed,Cash Deposit - Personal Loan - May 2017,0,241.32,3457460.44
TXN1486424,CUST49363,10-02-2015,Debit,PRD0001,Home Loan,241596.96,POS,East Zone,Telangana,Deepa Krishnan,Pending,Debit - Home Loan - Feb 2015,43487.45,265.65,197843.86
TXN9722462,CUST98208,07-06-2023,IMPS,PRD0009,Savings Account,556253.81,  ATM,South Zone,Maharashtra,Amit Patel,Under Review,IMPS - Savings Account - Aug 2011,100125.69,291.9,455836.22
TXN4651356,CUST51151,11-01-2022,EMI Payment,PRD0003,  Auto Loan,2641051.5,Mobile App,West Zone,madhya pradesh,ANITA BOSE,Pending,EMI Payment - Home Loan - Jan 2022,475389.27,40.96,2165621.27
TXN9465658,CUST49634,01-01-2025,  Credit,PRD0013,insurance,3772843.56,ATM,North Zone,Haryana,Nitin Joshi,Pending,Credit - Insurance - Jan 2025,679111.84,63.27,3093668.45
TXN6758796,CUST97304,07-01-2019,UPI,PRD0012,MUTUAL FUND,Rs.1028205.4,ATM,West Zone,DELHI,Nitin Joshi,Pending,UPI - Mutual Fund - Jan 2019,708335.18,219.94,3226640.35
TXN2940958,CUST34420,01-02-2013,Loan Disbursal,PRD0007,LOAN AGAINST PROPERTY,1230873.62,NEFT/RTGS,North Zone,KERALA,Ramesh Yadav,Reversed,Loan Disbursal - Loan Against Property - Jan 2013,0,455.51,1230418.11
TXN7263018,CUST16113,01-06-2017,credit,PRD0002,Personal Loan,944952.44,POS,North Zone,TELANGANA,Amit Patel,Pending,Credit - Personal Loan - Dec 2020,0,Rs.4.14,944948.3
TXN5667750,CUST19658,11-12-2017,Cash Withdrawal,PRD0010,Fixed Deposit,2271996.57,mobile app,East Zone,Andhra Pradesh,  Nitin Joshi,Failed,Cash Withdrawal - Fixed Deposit - Nov 2017,408959.38,353.46,1862683.73
TXN9589419,CUST95403,25-04-2010,EMI Payment,PRD0012,Mutual Fund,1072638.07,Mobile App,West Zone,Madhya Pradesh,  Deepa Krishnan,Completed,EMI Payment - Mutual Fund - Apr 2010,0,47.15,Rs.1072590.92
TXN9300492,CUST49363,30-Apr-18,IMPS,PRD0010,fixed deposit,Rs.1360920.92,POS,South Zone,Delhi,vijay kumar,Under Review,IMPS - Fixed Deposit - Apr 2018,0,Rs.120.1,1360800.82
TXN3892246,CUST84393,11-07-2016,Debit,PRD0002,Personal Loan,2668080.22,POS,North Zone,MAHARASHTRA,Sunita Rao,Reversed,Debit - Personal Loan - Nov 2016,480254.44,215.81,2187609.97
TXN1206766,CUST37110,11-10-2010,Cash Deposit,PRD0013,Insurance,1081331.33,ATM,South Zone,Karnataka,nitin joshi,failed,Cash Deposit - Insurance - Oct 2010,0,85.83,1081245.5
TXN3427658,CUST17179,01-02-2018,UPI,PRD0004,Gold Loan,Rs.1028205.4,Phone Banking,South Zone,Madhya Pradesh,Kavya Bose,Failed,UPI - Gold Loan - Feb 2018,271443.8,323.97,1236253.36
TXN6034975,CUST31660,10-07-2025,Credit,PRD0009,Savings Account,4852571.44,NEFT/RTGS,East Zone,Tamil Nadu,Meena Iyer,Completed,Credit - Savings Account - Jul 2025,873462.86,270.02,3978838.56
TXN8653539,CUST29356,30-08-2022,Cash Withdrawal,PRD0001,Home Loan,3746132.57,ATM,central zone,Andhra Pradesh,Priya Nair,Failed,Cash Withdrawal - Home Loan - Aug 2022,674303.86,0,3071812.45
TXN7882323,CUST18601,25-06-2011,Penalty Charge,PRD0005,EDUCATION LOAN,937864.54,NEFT/RTGS,North Zone,Andhra Pradesh,Sai Rao,Reversed,Penalty Charge - Education Loan - Jun 2011,0,99.65,937864.54
TXN2549296,CUST49838,17-05-2025,UPI,PRD0010,Fixed Deposit,3707041.92,Internet Banking,South Zone,Andhra Pradesh,AMIT PATEL,Under Review,UPI - Fixed Deposit - May 2025,667267.55,466.91,3039307.46
TXN8477088,CUST84349,26-06-2024,NEFT,PRD0002,Personal Loan,4411961.17,Mobile App,Central Zone,Karnataka,Arun Mehta,SUCCESS,Cash Withdrawal - Personal Loan - Jun 2024,794153.01,129.57,3617678.59
TXN1268971,CUST34600,02-02-2013,imps,PRD0017,Auto Loan,3850070.11,  Branch,Central Zone,Haryana,  Amit Patel,Under Review,IMPS - Auto Loan - Feb 2013,0,256.67,3849813.44
TXN6570296,CUST71875,01-Mar-24,Debit,PRD0009,SAVINGS ACCOUNT,3433249.87,Branch,South Zone,Rajasthan,Nitin Joshi,Completed,Debit - Savings Account - Mar 2024,0,172.98,3433076.89
TXN5437438,CUST30260,17-04-2017,IMPS,PRD0051,  Savings Account,1871619.17,ATM,West Zone,Haryana,Sanjay Gupta,Failed,IMPS - Savings Account - Apr 2017,336891.45,407.45,1534320.27
TXN6332643,CUST39762,29-02-2020,IMPS,PRD0002,Personal Loan,3397105.01,Phone Banking,South Zone,West Bengal,Sanjay Gupta,Reversed,IMPS - Personal Loan - Feb 2020,0,254.69,3396850.32
TXN6088664,CUST80138,06-Feb-16,cash deposit,PRD0010,Fixed Deposit,4967111.89,Internet Banking,SOUTH ZONE,Tamil Nadu,Meena Iyer,Failed,Cash Deposit - Fixed Deposit - Feb 2016,0,153.8,4966958.09
TXN8198004,CUST43330,11-Apr-21,EMI Payment,PRD0005,EDUCATION LOAN,1687147.19,pos,East Zone,Madhya Pradesh,arun mehta,Under Review,EMI Payment - Education Loan - Apr 2021,0,362.01,1687147.19
TXN5021791,CUST77672,10-03-2011,Debit,PRD0017,AUTO LOAN,3567793.1,NEFT/RTGS,central zone,Andhra Pradesh,Sanjay Gupta,Completed,Debit - Auto Loan - Mar 2011,0,101.32,3567691.78
TXN6952196,CUST30016,18-03-2012,NEFT,PRD0012,Mutual Fund,4888857.57,branch,Central Zone,Haryana,Vijay Kumar,Reversed,NEFT - Mutual Fund - Mar 2012,879994.36,142.45,4008720.76
TXN8884983,CUST21770,03-11-2023,TRANSFER,PRD0014,OD Facility,649327.52,INTERNET BANKING,Central Zone,Punjab,MOHAN DAS,Reversed,Transfer - OD Facility - Mar 2023,0,192.1,649135.42
TXN3039130,CUST79932,26-11-2017,credit,PRD0010,Fixed Deposit,3946815.41,ATM,west zone,Kerala,ARUN MEHTA,Pending ,Credit - Fixed Deposit - Nov 2017,0,129.79,3946685.62
TXN5328985,CUST10055,26-01-2022,NEFT,PRD0013,Insurance,1410705.48,  Internet Banking,North Zone,Haryana,Lalita Devi,Failed,Transfer - Insurance - Jan 2022,0,288.94,1410416.54
TXN2521948,CUST25572,09-03-2021,interest credit,PRD0001,Home Loan,85871.38,Branch,East Zone,ODISHA,Mohan Das,Pending,Interest Credit - Home Loan - Mar 2021,15456.85,384.35,70030.18
TXN3697376,CUST38885,18-04-2018,UPI,PRD0012,Mutual Fund,94794.47,Mobile App,East Zone,Madhya Pradesh,Sanjay Gupta,Reversed,Penalty Charge - Mutual Fund - Apr 2018,Rs.0,211.43,94583.04
TXN8701056,CUST28904,06-11-2018,Penalty Charge,PRD0017,auto loan,249527.78,POS,East Zone,  Tamil Nadu,Vijay Kumar,Pending,Penalty Charge - Auto Loan - Nov 2018,0,201.41,249326.37
TXN1506832,CUST31534,30-03-2015,Cash Withdrawal,PRD0005,education loan,4592653.46,POS,Central Zone,Rajasthan,Ramesh Yadav,Failed,Cash Withdrawal - Education Loan - Mar 2015,826677.62,346.96,3765628.88
TXN1463407,CUST93478,17-09-2014,UPI,PRD0014,od facility,2635080.22,Internet Banking,South Zone,ANDHRA PRADESH,Deepa Krishnan,Pending,UPI - OD Facility - Sep 2014,0,374.79,2634705.43
TXN1131929,CUST38818,09-Apr-19,UPI,PRD0010,Fixed Deposit,896266.37,Branch,South Zone,Odisha,Kavitha Subramanian,Under Review,UPI - Fixed Deposit - Apr 2019,0,491.97,895774.4
TXN2898047,CUST94489,03-Jun-15,CASH DEPOSIT,PRD0013,Insurance,799968.47,  Mobile App,west zone,Madhya Pradesh,Sanjay Gupta,Pending,Cash Deposit - Insurance - Jun 2015,0,2.66,799965.81
TXN3104511,CUST86344,07-Nov-13,IMPS,PRD0003,  Auto Loan,2099196.61,ATM,East Zone,Punjab,aarav bose,Failed,IMPS - Loan Against Property - Nov 2013,0,0,1721258.12
TXN3881610,CUST13779,17-09-2016,transfer,PRD0001,  Home Loan,931260.76,branch,East Zone,Odisha,Nitin Joshi,Completed,Transfer - Home Loan - Sep 2016,0,Rs.119.1,931141.66
TXN5778772,CUST72505,13-10-2022,EMI Payment,PRD0013,  Insurance,3119096.26,phone banking,South Zone,Madhya Pradesh,Sunita Rao,Pending,EMI Payment - Insurance - Aug 2013,561437.33,123.14,2557535.79
TXN5661636,CUST42487,01-02-2012,CREDIT,PRD0002,Personal Loan,1919961.94,POS,East Zone,Madhya Pradesh,ramesh yadav,Failed,Credit - Personal Loan - Feb 2012,345593.15,450.84,1919961.94
TXN3656490,CUST97151,16-05-2011,Cash Withdrawal,PRD0012,mutual fund,4511977.6,Mobile App,South Zone,andhra pradesh,Vijay Kumar,Completed,Cash Withdrawal - Mutual Fund - May 2011,812155.97,352.58,3699469.05
TXN6391124,CUST34323,03-05-2022,UPI,PRD0009,Savings Account,547751.9,internet banking,North Zone,Haryana,Vijay Kumar,Reversed,UPI - Savings Account - Mar 2022,98595.34,20.72,449135.84
TXN9016589,CUST89988,30-08-2022,UPI,PRD0007,loan against property,859919.47,NEFT/RTGS,East Zone,Telangana,Sanjay Gupta,Pending,UPI - Loan Against Property - Oct 2020,154785.5,292.25,704841.72
TXN5121891,CUST53813,21-04-2010,Debit,PRD0005,Education Loan,1437723.82,POS,Central Zone,Kerala,RAJESH SHARMA,Reversed,Debit - Education Loan - Apr 2010,0,327.56,1437396.26
TXN2456992,CUST86619,24-06-2010,EMI Payment,PRD0010,FIXED DEPOSIT,1911916.33,Branch,NORTH ZONE,  Haryana,Sanjay Gupta,Reversed,EMI Payment - Fixed Deposit - Jun 2010,0,71.78,1911844.55
TXN1208554,CUST16450,29-01-2013,NEFT,PRD0013,Insurance,1295246.56,NEFT/RTGS,West Zone,Karnataka,Vijay Kumar,Reversed,NEFT - Insurance - Jan 2013,0,357.71,1294888.85
TXN2451944,CUST19743,22-08-2025,Cash Deposit,PRD0014,OD Facility,3098802.92,POS,South Zone,Delhi,Vijay Kumar,Failed,Cash Deposit - OD Facility - Aug 2025,557784.53,441.1,2540577.29
TXN5466437,CUST66349,06-03-2012,  Credit,PRD0011,Recurring Deposit,4896274.63,Branch,East Zone,Kerala,Sunita Rao,Failed,Credit - Recurring Deposit - Mar 2021,0,312.91,4895961.72
TXN8572769,CUST62645,25-06-2020,Interest Credit,PRD0011,Recurring Deposit,4392412.1,Mobile App,West Zone,Odisha,ANITA BOSE,Pending,Interest Credit - Recurring Deposit - Jun 2020,790634.18,0,3601339.5
TXN8187437,CUST82140,30-12-2012,Credit,PRD0006,Business Loan,1139854.15,Internet Banking,East Zone,WEST BENGAL,Dhruv Nair,Completed,Credit - Business Loan - Jul 2019,205173.75,122.82,934557.58
TXN6283356,CUST24367,22-11-2020,  EMI Payment,PRD0007,Loan Against Property,1523747.3,Phone Banking,Central Zone,Tamil Nadu,Kavitha Subramanian,Reversed,EMI Payment - Loan Against Property - Nov 2023,0,251.86,1523495.44
TXN4443459,CUST24367,22-11-2020,EMI Payment,PRD0007,Loan Against Property,1523747.3,Phone Banking,Central Zone,Tamil Nadu,Kavitha Subramanian,Completed,EMI Payment - Loan Against Property - Nov 2023,0,251.86,1523495.44
TXN1248806,CUST50166,23-10-2023,UPI,PRD0004,Gold Loan,2901292.88,Internet Banking,Central Zone,Madhya Pradesh,ANITA BOSE,Under Review,UPI - Gold Loan - Oct 2023,522232.72,497.6,2378562.56
TXN1323425,CUST53642,14-07-2018,Interest Credit,PRD0005,Education Loan,3875549.56,  POS,west zone,Rajasthan,Rajesh Sharma,Failed,Interest Credit - Education Loan - Jul 2018,697598.92,31.75,3177918.89
TXN6766997,CUST86397,29-03-2024,cash withdrawal,PRD0011,RECURRING DEPOSIT,2899701.87,Phone Banking,NORTH ZONE,Madhya Pradesh,Priya Nair,Under Review,Cash Withdrawal - Recurring Deposit - Jul 2018,0,126.3,2899575.57
TXN5965761,CUST78679,06-11-2018,CASH WITHDRAWAL,PRD0005,Education Loan,1631581.77,Branch,North Zone,PUNJAB,deepa krishnan,Failed,Cash Withdrawal - Education Loan - Apr 2013,0,329.89,1337567.16
TXN5438623,CUST14791,05-09-2015,EMI Payment,PRD0005,Education Loan,1630654.83,  ATM,South Zone,Rajasthan,ramesh yadav,Reversed,EMI Payment - Education Loan - Sep 2015,293517.87,260.96,Rs.1336876.0
TXN5926528,CUST42631,04-05-2017,Interest Credit,PRD0007,Loan Against Property,665221.59,Phone Banking,east zone,Odisha,Rajesh Sharma,Reversed,Interest Credit - Loan Against Property - Nov 2017,119739.89,349.2,545132.5
TXN7765112,CUST91922,22-10-2022,NEFT,PRD0008,Credit Card,3877426.43,POS,EAST ZONE,Rajasthan,lalita devi,Under Review,NEFT - Credit Card - Aug 2011,697936.76,290.74,3179198.93
TXN5159882,CUST55224,17-05-2011,UPI,PRD0006,Business Loan,2764453.71,ATM,West Zone,Andhra Pradesh,arun mehta,Under Review,UPI - Business Loan - Jul 2021,0,0,2266604.32
TXN8825067,CUST42947,03-11-2016,TRANSFER,PRD0007,Loan Against Property,4200458.83,NEFT/RTGS,North Zone,Haryana,Nitin Joshi,Completed,Transfer - Loan Against Property - Nov 2016,0,0,4200128.16
TXN9700499,CUST26961,09-08-2019,Interest Credit,PRD0004,Gold Loan,Rs.4158338.34,Branch,West Zone,Kerala,Sanjay Gupta,Under Review,Interest Credit - Gold Loan - Aug 2019,0,400.2,4157938.14
TXN5871762,CUST12048,14-09-2012,CREDIT,PRD0014,OD Facility,1548445.65,  Phone Banking,West Zone,Uttar Pradesh,Vijay Kumar,Completed,Credit - OD Facility - Sep 2012,0,158.99,1548286.66
TXN6004139,CUST69139,03-05-2022,  UPI,PRD0017,Auto Loan,1469969.1,Mobile App,West Zone,Uttar Pradesh,Vijay Kumar,Reversed,UPI - Auto Loan - May 2022,0,389.87,1469579.23
TXN5291498,CUST34164,08-10-2017,Debit,PRD0010,Fixed Deposit,2791942.79,MOBILE APP,North Zone,Telangana,Meena Iyer,Completed,Debit - Fixed Deposit - Oct 2017,502549.7,39.53,2289353.56
TXN1404895,CUST39933,23-03-2025,NEFT,PRD0004,GOLD LOAN,1913403.49,Phone Banking,North Zone,Tamil Nadu,Sunita Rao,Under Review,NEFT - Gold Loan - Jul 2021,344412.63,410.38,1913403.49
TXN9509886,CUST49152,09-05-2023,UPI,PRD0001,Home Loan,3843225.25,ATM,North Zone,West Bengal,Arun Mehta,Completed,UPI - Home Loan - Jul 2023,691780.54,496.2,Rs.3150948.51
TXN8630644,CUST31534,18-04-2018,RTGS,PRD0011,Recurring Deposit,4938948.68,internet banking,EAST ZONE,MAHARASHTRA,Sunita Rao,Reversed,RTGS - Recurring Deposit - Jun 2023,0,339.06,4938609.62
TXN7307007,CUST53813,28-12-2021,Interest Credit,PRD0001,Home Loan,1160829.73,Branch,SOUTH ZONE,Tamil Nadu,PRIYA NAIR,Reversed,Interest Credit - Home Loan - Dec 2021,Rs.208949.35,64.87,951815.51
TXN1984860,CUST20040,24-08-2023,EMI Payment,PRD0012,Mutual Fund,3195653.15,Internet Banking,South Zone,Gujarat,Rajesh Sharma,Pending,EMI Payment - Mutual Fund - Aug 2023,575217.57,79.04,2620356.54
TXN5786762,CUST83399,08-02-2022,EMI Payment,PRD0006,Business Loan,2569216.67,branch,NORTH ZONE,Telangana,Ramesh Yadav,Reversed,EMI Payment - Business Loan - Aug 2022,462459,274.01,2569216.67
TXN8531455,CUST98502,12-04-2017,  Transfer,PRD0011,Recurring Deposit,3788968.27,ATM,South Zone,Maharashtra,Sunita Rao,Under Review,Transfer - Recurring Deposit - Dec 2017,0,31.44,3788936.83
TXN8843990,CUST61595,03-06-2024,  Interest Credit,PRD0001,Home Loan,3613548.3,Branch,North Zone,KERALA,NITIN JOSHI,Under Review,Interest Credit - Home Loan - Jun 2024,0,318.61,Rs.3613229.69
TXN2682110,CUST48543,03-06-2024,Transfer,PRD0017,AUTO LOAN,128154.41,Mobile App,West Zone,Rajasthan,sunita rao,Under Review,Transfer - Auto Loan - Nov 2014,23067.79,408.69,104677.93
TXN4997984,CUST83755,31-10-2015,CREDIT,PRD0017,auto loan,2876370.63,Mobile App,North Zone,Haryana,Priya Nair,Pending,Credit - Auto Loan - Jun 2019,0,113.98,2876370.63
TXN7599278,CUST93993,18-05-2013,EMI Payment,PRD0005,Education Loan,Rs.1067613.72,INTERNET BANKING,WEST ZONE,TAMIL NADU,ramesh yadav,Reversed,EMI Payment - Education Loan - May 2013,0,246.38,1067367.34
TXN8209168,CUST50378,06-05-2017,RTGS,PRD0001,Home Loan,3240194.82,ATM,East Zone,West Bengal,Arun Mehta,Failed,RTGS - Home Loan - Sep 2013,583235.07,210.12,2656749.63
TXN9322488,CUST50378,30-09-2013,RTGS,PRD0001,Home Loan,3240194.82,ATM,East Zone,West Bengal,Arun Mehta,Completed,RTGS - Home Loan - Sep 2013,583235.07,210.12,2656749.63
TXN2298335,CUST83308,10-02-2015,IMPS,PRD0010,fixed deposit,2530677.45,branch,Central Zone,Kerala,MOHAN DAS,Failed,IMPS - Fixed Deposit - Jan 2017,0,7.1,2530677.45
TXN2228666,CUST26961,01-01-2025,Cash Deposit,PRD0011,Recurring Deposit,2184968.44,neft/rtgs,South Zone,ODISHA,Amit Patel,Failed,Cash Deposit - Recurring Deposit - May 2014,0,486.08,2184482.36
TXN6132944,CUST73998,29-Mar-25,  NEFT,PRD0003,  Auto Loan,2997492.24,phone banking,WEST ZONE,Uttar Pradesh,rajesh sharma,Reversed,NEFT - Mutual Fund - Mar 2025,539548.6,214.19,2457729.45
TXN7687351,CUST70036,19-09-2015,UPI,PRD0006,Business Loan,3793365.8,atm,North Zone,Gujarat,Amit Patel,failed,UPI - Business Loan - Sep 2015,682805.84,137.3,3110422.66
TXN4915486,CUST23413,07-02-2015,Cash Deposit,PRD0006,Business Loan,4336381.24,NEFT/RTGS,West Zone,Karnataka,Rajesh Sharma,Under Review,Cash Deposit - Business Loan - Jul 2015,0,22.79,3555809.83
TXN9170146,CUST89988,15-Sep-14,Loan Disbursal,PRD0014,OD Facility,1683508.48,Internet Banking,East Zone,West Bengal,Priya Nair,completed,Loan Disbursal - OD Facility - Sep 2014,303031.53,304.7,1380172.25
TXN1743148,CUST24832,09-04-2021,Debit,PRD0004,Gold Loan,1769194.28,pos,South Zone,Kerala,Meena Iyer,Completed,Debit - Gold Loan - Sep 2021,318454.97,420.77,1450318.54
TXN9628571,CUST20040,19-08-2019,Debit,PRD0075,  Education Loan,2852972.42,internet banking,South Zone,Delhi,Amit Patel,Under Review,Debit - Education Loan - Aug 2019,513535.04,321.41,2339115.97
TXN6702336,CUST48543,06-Jun-19,Penalty Charge,PRD0003,  Auto Loan,3114476.3,POS,North Zone,Andhra Pradesh,Mohan Das,Reversed,Penalty Charge - Education Loan - Jun 2019,0,117.78,3114358.52
TXN8468713,CUST24515,20-03-2022,Interest Credit,PRD0008,Credit Card,1569715.75,pos,  North Zone,Telangana,Anita Bose,Reversed,Interest Credit - Credit Card - Mar 2022,282548.83,342.75,1286824.17
TXN1467368,CUST76787,11-01-2022,Interest Credit,PRD0014,OD FACILITY,3691269.63,POS,Central Zone,ODISHA,  Priya Nair,Under Review,Interest Credit - OD Facility - Jun 2013,0,323.52,3690946.11
TXN8325920,CUST57277,01-01-2025,neft,PRD0005,Education Loan,4510649.67,Branch,East Zone,Delhi,Rajesh Sharma,Under Review,NEFT - Education Loan - Jun 2019,811916.94,230.12,3698502.61
TXN9666745,CUST89802,11-09-2014,Loan Disbursal,PRD0012,Mutual Fund,1317405.9,Mobile App,Central Zone,Gujarat,Arun Mehta,Completed,Loan Disbursal - Mutual Fund - Sep 2014,237133.06,38.17,1080234.67
TXN5479677,CUST46935,31-Jul-16,CASH WITHDRAWAL,PRD0007,loan against property,1459966.67,ATM,Central Zone,West Bengal,Nitin Joshi,Pending,Cash Withdrawal - Loan Against Property - Jul 2016,262794,380.64,1196792.03
TXN2488612,CUST80047,01-02-2015,Interest Credit,PRD0009,Savings Account,4608872.41,NEFT/RTGS,South Zone,Uttar Pradesh,Anita Bose,Reversed,Interest Credit - Savings Account - Feb 2015,829597.03,150.04,3779125.34
TXN1049281,CUST69892,30-08-2022,Transfer,PRD0001,Home Loan,4487850.45,Branch,north zone,Telangana,Sanjay Gupta,Failed,Transfer - Home Loan - Aug 2022,807813.08,322.77,3679714.6
TXN1496104,CUST73505,06-Jul-22,RTGS,PRD0003,  Auto Loan,2925920.1,NEFT/RTGS,south zone,andhra pradesh,Priya Nair,Reversed,RTGS - Mutual Fund - Jul 2022,Rs.0,207.81,2925712.29
TXN3754895,CUST33281,05-06-2017,CREDIT,PRD0012,Mutual Fund,469389.84,Phone Banking,Central Zone,west bengal,Priya Nair,Under Review,Credit - Mutual Fund - May 2017,84490.17,152.21,384747.46
TXN7007642,CUST33281,07-01-2019,Credit,PRD0012,Mutual Fund,469389.84,Phone Banking,Central Zone,West Bengal,Priya Nair,Completed,Credit - Mutual Fund - May 2017,84490.17,152.21,384747.46
